"treatment","dem_perf_06","relevant_measures_net"
0,62.9000015258789,399
0,47.5999984741211,156
0,61.7000007629395,482
0,64.0999984741211,483
0,37.5,-135
0,34.2000007629395,-122
0,36.7000007629395,-183
0,59.0999984741211,289
0,30,-171
0,35,-521
0,34.0999984741211,-83
0,32.5,-26
0,54.0999984741211,97
0,28.8999996185303,-86
0,49.4000015258789,110
0,48.5,-7
0,62.0999984741211,574
1,42.5,-5
1,50.2000007629395,260
1,42.5,-5
1,60.7000007629395,15
1,73.5,696
1,63.7000007629395,433
1,31.5,-239
1,31.1000003814697,59
1,38.0999984741211,-90
1,33.7999992370605,219
1,42.9000015258789,102
1,36.7999992370605,-16
1,41.5,219
1,48.0999984741211,28
1,56.7000007629395,204
1,31.3999996185303,-32
1,35.5999984741211,-27
1,50.2999992370605,309
1,48.0999984741211,136
1,58,726
1,51.2999992370605,399
1,28.7000007629395,-118
1,43.7000007629395,-5
1,24.7000007629395,-110
1,48,146
1,31.5,83
1,68.5,888
1,31.6000003814697,-73
1,55.5999984741211,407
1,55.4000015258789,53
1,37.7999992370605,237
1,48.4000015258789,-15
1,40.0999984741211,171
1,60.7000007629395,357
1,63.0999984741211,668
1,58.5,424
1,55.2999992370605,219
1,35.2999992370605,146
1,35.7999992370605,-33
1,32.5,-26
1,47.9000015258789,127
1,57.0999984741211,370
1,22.7000007629395,-244
1,54.0999984741211,82
1,42.9000015258789,115
1,53.7000007629395,441
1,55.9000015258789,278
1,43.2000007629395,-103
